红楼梦,9.6,都云作者痴，谁解其中味？
活着,9.4,生的苦难与伟大
百年孤独,9.3,魔幻现实主义文学代表作
1984,9.4,栗树荫下，我出卖你，你出卖我
飘,9.3,革命时期的爱情，随风而逝
三体全集,9.4,地球往事三部曲
三国演义（全二册）,9.3,是非成败转头空
白夜行,9.1,一宗离奇命案牵出跨度近20年步步惊心的故事
房思琪的初恋乐园,9.2,向死而生的文学绝唱
福尔摩斯探案全集（上中下）,9.3,名侦探的代名词
动物农场,9.3,太阳底下并无新事
小王子,9.0,献给长成了大人的孩子们
撒哈拉的故事,9.2,游荡的自由灵魂
天龙八部,9.1,有情皆孽，无人不冤
安徒生童话故事集,9.2,为了争取未来的一代
平凡的世界（全三部）,9.0,中国当代城乡生活全景
围城,8.9,幽默的语言和对生活深刻的观察
局外人,9.0,人生在世，永远也不该演戏作假
霍乱时期的爱情,9.0,义无反顾地直达爱情的核心
沉默的大多数,9.1,沉默是沉默者的通行证
明朝那些事儿（1-9）,9.1,不拘一格的历史书写
哈利·波特,9.7,从9¾站台开始的旅程
人类简史,9.1,跟着人类一同走过十万年
冰与火之歌（卷一）,9.3,凛冬将至。无比宏大的世界观
杀死一只知更鸟,9.2,有一种东西不能遵循从众原则，那就是——人的良心
